IQA,Accuracy,Count,Num_Accs
0.05,0.9333333333333333,15,14
0.13,1.0,30,30
0.16,0.9166666666666666,12,11
0.17,1.0,12,12
0.18,1.0,15,15
0.19,1.0,12,12
0.2,1.0,18,18
0.21,1.0,27,27
0.22,1.0,12,12
0.23,1.0,12,12
0.24,1.0,12,12
0.25,0.9629629629629629,27,26
0.26,1.0,18,18
0.27,1.0,12,12
0.28,1.0,12,12
0.29,1.0,30,30
0.3,0.9777777777777777,45,44
0.31,1.0,17,17
0.33,1.0,24,24
0.34,1.0,21,21
0.35,0.9777777777777777,45,44
0.36,1.0,48,48
0.37,0.967741935483871,93,90
0.38,1.0,33,33
0.39,0.9024390243902439,41,37
0.4,0.9487179487179487,39,37
0.41,0.9166666666666666,36,33
0.42,1.0,33,33
0.43,1.0,24,24
0.44,1.0,11,11
0.45,0.8888888888888888,36,32
0.47,0.9285714285714286,42,39
0.48,0.9259259259259259,54,50
0.49,0.9649122807017544,57,55
0.5,0.9629629629629629,27,26
0.51,0.9866666666666667,75,74
0.52,0.9333333333333333,30,28
0.53,1.0,48,48
0.54,1.0,54,54
0.55,0.9824561403508771,57,56
0.56,1.0,36,36
0.57,0.9696969696969697,33,32
0.58,1.0,63,63
0.59,0.9803921568627451,51,50
0.6,0.9661016949152542,59,57
0.61,1.0,35,35
0.63,0.8888888888888888,36,32
0.65,0.9411764705882353,51,48
0.66,0.9666666666666667,30,29
0.67,0.8461538461538461,39,33
0.68,1.0,33,33
0.69,0.9215686274509803,51,47
0.7,0.9298245614035088,57,53
0.72,0.9333333333333333,15,14
0.73,0.8611111111111112,36,31
0.74,0.9629629629629629,27,26
0.75,0.9333333333333333,30,28
0.76,0.9375,48,45
0.77,0.8888888888888888,18,16
0.78,0.7619047619047619,21,16
0.79,0.7575757575757576,33,25
0.8,0.7142857142857143,21,15
0.82,0.9166666666666666,12,11
0.83,0.6,15,9
0.85,0.5555555555555556,18,10
0.86,0.8888888888888888,27,24
0.87,0.6666666666666666,18,12
0.88,0.6666666666666666,30,20
0.89,0.9047619047619048,21,19
0.9,0.625,24,15
0.92,0.6666666666666666,21,14
0.93,0.6388888888888888,36,23
0.95,0.9523809523809523,21,20
0.96,0.5238095238095238,21,11
0.97,0.2857142857142857,21,6
0.98,0.5833333333333334,36,21
0.99,0.7878787878787878,33,26
1.0,0.8181818181818182,66,54
